,Company Name,Listed Date,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss,Year,Is_Successful
375,Ishan International Limited,2022-09-22,80,82.8,0.0003500000000000001,,-0.00875,2022,0
376,Tapi Fruit Processing Ltd,2022-09-22,48,54.7,0.001396,,0.007396000000000001,2022,0
377,Sabar Flex India Limited,2022-09-21,11,22.05,0.010045,,-0.005135999999999999,2022,0
378,Mega Flex Plastics Limited,2022-09-19,40,56.7,0.004175,,0.003588,2022,0
379,Shantidoot Infra Services Limited,2022-09-19,81,110.25,0.003611,228.5,0.01821,2022,0
380,Viviana Power Tech Limited,2022-09-16,55,94.5,0.007181999999999999,,0.223445,2022,1
381,Virtuoso Optoelectronics Limited,2022-09-15,56,115.4,0.010607,431.4,0.067036,2022,0
382,EP Biocomposites Limited,2022-09-13,126,168.25,0.003353,126.0,0.0,2022,0
383,JFL Life Sciences Limited,2022-09-08,61,66.5,0.000902,,-0.007238,2022,0
384,Jay Jalaram Technologies Ltd,2022-09-08,36,52.5,0.004583,,0.027236,2022,0
385,Ameya Precision Engineers Ltd,2022-09-08,34,65.4,0.009235,,0.023676,2022,0
386,Dipna Pharmachem Limited,2022-09-08,38,33.4,-0.001211,21.17,-0.004429,2022,0
387,Rhetan TMT Limited,2022-09-05,70,66.5,-0.0005,18.76,-0.00732,2022,0
388,Naturo Indiabull Limited,2022-09-02,30,26.25,-0.00125,4.28,-0.008572999999999999,2022,0
389,Olatech Solutions Limited,2022-08-29,27,53.85,0.009944,228.0,0.074444,2022,0
390,Veekayem Fashion and Apparels Limited,2022-08-22,28,50.0,0.007857,,0.080482,2022,0
391,Upsurge Seeds of Agriculture Limited,2022-08-11,120,147.0,0.00225,,0.004333,2022,0
392,Agni Green Power Limited,2022-08-01,10,26.25,0.01625,,0.01815,2022,0
393,Healthy Life Agritec Limited,2022-07-26,10,9.34,-0.00066,59.18,0.04918,2022,0
394,Veerkrupa Jewellers Limited,2022-07-18,27,25.65,-0.0005,0.99,-0.009633000000000001,2022,0
395,SKP Bearing Industries Limited,2022-07-13,70,72.45,0.0003500000000000001,,0.022286,2022,0
396,Jayant Infratech Limited,2022-07-13,67,79.8,0.00191,76.86,0.001472,2022,0
397,B Right Realestate Limited,2022-07-13,153,154.0,6.5e-05,361.0,0.013595,2022,0
398,Kesar India Limited,2022-07-12,170,175.5,0.000324,569.15,0.023479,2022,0
399,Mangalam Worldwide Limited,2022-07-11,101,102.55,0.000153,,0.006094,2022,0
400,KCK Industries Limited,2022-07-08,30,26.25,-0.00125,,0.0565,2022,0
401,Sailani Tours N Travels Limited,2022-07-08,15,16.27,0.000847,13.96,-0.000693,2022,0
